tweets,processed_text,sentiment,predicted_sentiment,prediction_probability,top_topics,dataset
@apple deleted users' non-#itunes music and didn't tell them about it  via @appy_geek #apple #music,delet user non music and didnt tell them about it via,-1.0,-1.0,0.8716666,"Topic 3, Topic 4",train
the @apple enterprise developer agreement is (wait for it ) 719  (seven hundred and nineteen) pages !!,the enterpris develop agreement is wait for it seven hundr and nineteen page !!,0.0,0.0,0.75180346,"Topic 5, Topic 6",train
"dear @apple all i want for xmas is for ios 8 to stop crashing my ipad.  signed, cindy lou who of whoville #apple","dear all i want for xma is for io to stop crash my ipad. signed, cindi lou who of whovil",-1.0,-1.0,0.83241606,"Topic 6, Topic 2",train
rt @laur_va: .@apple engineer makes printer from #lego  #makers ,. engin make printer from,0.0,0.0,0.839853,"Topic 1, Topic 4",train
rt @cruci0btch: why don't we have harry potter emojis please work on this @apple,whi dont we have harri potter emoji pleas work on thi,-1.0,-1.0,0.66927475,"Topic 5, Topic 6",train
i'm learning all about apple at @influenster! @apple ,im learn all aboutat !,0.0,0.0,0.8032607,"Topic 6, Topic 5",train
apple inc seo: a walk through the mystery of   #aapl,inc seo a walk through the mysteri of,0.0,0.0,0.778201,"Topic 5, Topic 6",train
i swear to fuck i would rather cut and splice physical fucking tape than dick around with one more @apple product with shit design.,i swear to fuck i would rather cut and splice physic fuck tape than dick around with one more product with shit design.,-1.0,-1.0,0.99848914,"Topic 4, Topic 3",train
@sammcmanusss @apple idk it just happend though,idk it just happend though,0.0,0.0,0.7835077,"Topic 4, Topic 5",train
"@apple can you add #touchid to the power off button, so if someone steal my #iphone they can't turn it off. #security","can you add to the power off button, so if someon steal my they cant turn it off.",0.0,0.0,0.8009859,"Topic 5, Topic 6",train
@apple ischool?  #education @applenws,ischool?,0.0,0.0,0.778201,"Topic 5, Topic 6",train
freak you @apple pay me,freak you pay me,-1.0,-1.0,0.80365044,"Topic 6, Topic 1",train
you pieces of shit @apple!  god damnit man!,you piec of shit ! god damnit man!,-1.0,-1.0,0.89349794,"Topic 4, Topic 5",train
"@samsungmobileus #samsung #appeals $930m fine in @apple [#apple] #iphone copying case. (#friday, 5 #december) ","m fine in copi case. ,",0.0,0.0,0.9105794,"Topic 4, Topic 3",train
"new products, 'innovative services' lead barclays to hike apple price target by 17% to $140  $aapl #aapl ","new products, innov servic lead barclay to hikepric target by to",1.0,1.0,0.66759586,"Topic 5, Topic 2",train
#aapl:steve jobs defends apple in taped deposition...,steve job defendsin tape deposition...,0.0,0.0,0.8228013,"Topic 5, Topic 2",train
#aapl:pacific crest's apple analyst reiterates selling some shares...,pacif crestsanalyst reiter sell some shares...,0.0,0.0,0.8401946,"Topic 6, Topic 4",train
@apple yh news apple ipod judge asks if lack of plaintiff dooms trial: apple inc. (aapl) said it discovered th...  ,yh newsipod judg ask if lack of plaintiff doom trialinc. said it discov th...,0.0,0.0,0.7894559,"Topic 3, Topic 6",train
mi banca rota es culpa de @apple :(,mi banca rota es culpa de,0.0,0.0,0.80291706,"Topic 1, Topic 3",train
wtf my battery was 31% one second ago and now is 29% wtf is this @apple,wtf my batteri wa one second ago and now is wtf is thi,-1.0,-1.0,0.9805104,"Topic 3, Topic 5",train
"rt @elnuevoherald: steve jobs, clave en juicio contra @apple   ","steve jobs, clave en juicio contra",0.0,0.0,0.8917051,"Topic 4, Topic 2",train
"rt @onerepublic: studio at 45,000 ft.  one outlet,  4 computers.  @apple we need the batteries of the future now!!!! ","studio at , ft. one outlet, computers. we need the batteri of the futur now!!!!",-1.0,0.0,0.79342747,"Topic 5, Topic 3",train
macbook pro 13   non-retina first startup:  via @youtube @apple #macbook #macbookpro #startup #hipster,macbook pro nonretina first staup via,0.0,0.0,0.9039149,"Topic 2, Topic 1",train
rt @decodedfashion: .@apple is reportedly hiring fashion-focused staff for its physical stores  #ftdaily #fashiontech,. is repoedli hire fashionfocus staff for it physic store,0.0,0.0,0.9447598,"Topic 2, Topic 4",train
"#aapl:watch list: at&amp;t (nyse:t), apple (nasdaq:aapl), pandora media inc (nys...","watch list att nyset,nasdaq, pandora media inc nys...",0.0,0.0,0.91174,"Topic 1, Topic 3",train
almost want back to an android because why won't apple have torrent?@apple,almost want back to an android becaus whi wonthav torrent?,-1.0,-1.0,0.50024986,"Topic 3, Topic 6",train
@engadget @apple it happened to me.,it happen to me.,0.0,0.0,0.778201,"Topic 3, Topic 4",train
@apple i have been on hold for 30 minutes thank god i sold most of my stock is this comcast or apple?,i have been on hold for minut thank god i sold most of my stock is thi comcast or?,-1.0,-1.0,0.5863863,"Topic 2, Topic 5",train
@caseypieper @theweldingroom @apple @monster @redbull i heard monster was the hebrew devil. lol,i heard monster wa the hebrew devil. lol,0.0,0.0,0.80938363,"Topic 4, Topic 3",train
"hey @apple, fuck you for thinking i want text messages to pop up on my computer, ipad and phone.. #thisiswhypeoplegetmurdered","hey , fuck you for think i want text messag to pop up on my computer, ipad and phone..",-1.0,-1.0,0.99854064,"Topic 6, Topic 3",train
can someone please invent a case for the iphone that adds storage? #desperate @otterbox @apple,can someon pleas invent a case for the iphon that add storage?,0.0,0.0,0.9379842,"Topic 4, Topic 6",train
those** pick up the slack you fuck boys @apple,those pick up the slack you fuck boy,-1.0,-1.0,0.9340389,"Topic 3, Topic 5",train
"rt @onerepublic: studio at 45,000 ft.  one outlet,  4 computers.  @apple we need the batteries of the future now!!!! ","studio at , ft. one outlet, computers. we need the batteri of the futur now!!!!",0.0,0.0,0.79342747,"Topic 5, Topic 3",train
who's buying all those new #iphones anyway? #aapl ,who buy all those new anyway?,0.0,0.0,0.8444262,"Topic 6, Topic 5",train
@howswelegant @apple @bubblemania @lxforever oh my this is tragic. i need your help with 211,oh my thi is tragic. i need your help with,0.0,0.0,0.79882604,"Topic 4, Topic 5",train
why is there no black heart emoji @apple,whi is there no black heaemoji,-1.0,0.0,0.51381177,"Topic 6, Topic 2",train
fuck you for breaking my music @apple,fuck you for break my music,-1.0,-1.0,0.97263396,"Topic 2, Topic 3",train
"here are @sfbjeditor 5 things to know today, including who is hoarding the @apple #iphone6 ","here are thing to know today, includ who is hoard the",0.0,0.0,0.94187254,"Topic 4, Topic 2",train
"if @apple will poach from #fashion, then fashion will follow suit - the business of fashion - ","if will poach from , then fashion will follow suit the busi of fashion",0.0,0.0,0.882781,"Topic 4, Topic 1",train
this is the phone i wish @apple announced monday:     #phonebloks #cb4g,thi is the phone i wish announc monday,0.0,0.0,0.5748145,"Topic 5, Topic 4",train
@apple accused of deleting songs from #ipods without users' knowledge ,accus of delet song from without user knowledg,-1.0,-1.0,0.9078018,"Topic 4, Topic 1",train
@patrickpaltrow @apple between 4 and 8,between and,0.0,0.0,0.778201,"Topic 5, Topic 6",train
just watched my dad struggle to answer a call because his #iphone wouldn't let him answer. great job on #ios @apple!!! not...,just watch my dad struggl to answer a call becaus hi wouldnt let him answer. great job on !!! not...,-1.0,-1.0,0.6601945,"Topic 2, Topic 5",train
"please @google, replace java for another language. follow @apple's example, innovate!","pleas , replac java for anoth language. follow s exle, innovate!",1.0,0.0,0.5370016,"Topic 6, Topic 3",train
bruh @apple real niggas need that 128gb ipod touch already,bruh real nigga need that gb ipod touch alreadi,1.0,-1.0,0.40929222,"Topic 6, Topic 3",train
rt @mrtomeoni: lol tryna figure out why this file say its from 1984? @tim_cook @apple @stephaniekmbc ,lol tryna figur out whi thi file say it from ?,0.0,0.0,0.7095325,"Topic 1, Topic 3",train
"ok, @apple, @sprint if you're going to sell each other's stuff, provide each other with visibility into each other's order systems.","ok, , if your go to sell each other stuff, provid each other with visibl into each other order systems.",0.0,0.0,0.81658477,"Topic 5, Topic 6",train
"it's been said 'don't talk about politics', but i can't take it anymr. i'll still post about @cisco, @apple and others. but we need change.","it been said dont talk about politics, but i cant take it anymr. ill still post about , and others. but we need change.",0.0,0.0,0.7951921,"Topic 3, Topic 6",train
rt @hsmoghul: my @apple autocorrect changes muslim to awesome and i'm okay with that,my autocorrect chang muslim to awesom and im okay with that,1.0,0.0,0.44891468,"Topic 6, Topic 5",train
rumor roundup: a tale of three rumor blogs $aapl #aapl ,rumor roundup a tale of three rumor blog,0.0,0.0,0.9574599,"Topic 6, Topic 2",train
five apple predictions for 2015 $aapl #aapl ,fivepredict for,0.0,0.0,0.778201,"Topic 5, Topic 6",train
@thehill @apple i cite the us constitution where judges cannot pass laws! violation of the separation of powers,i cite the us constitut where judg cannot pass laws! violat of the separ of power,-1.0,0.0,0.7482653,"Topic 1, Topic 5",train
@apple had a dream last night where i downgraded my #iphone to a 4s and spent the rest of the dream trying to figure out what to do. #shame,had a dream last night where i downgrad my to a s and spent the rest of the dream tri to figur out what to do.,-1.0,-1.0,0.65495163,"Topic 5, Topic 1",train
@apple working on making next phone drop in the safest way all the time...like a cat ,work on make next phone drop in the safest way all the time...lik a cat,0.0,0.0,0.5936689,"Topic 4, Topic 5",train
"#apple wants to make your commute much easier, according to this new patent #aapl  ","want to make your commut much easier, accord to thi new patent",0.0,0.0,0.7271849,"Topic 6, Topic 4",train
why ain't i getting my email notifications @apple,whi aint i get my email notif,0.0,-1.0,0.6517916,"Topic 4, Topic 2",train
"final #aapl #putcallratios for wednesday, december 3, 2014 ","final for wednesday, decemb ,",0.0,0.0,0.94595873,"Topic 1, Topic 6",train
@apple i h8 everything about u,i h everyth about u,-1.0,0.0,0.6001322,"Topic 4, Topic 2",train
"42% believe #iphone6 won't be available this christmas, survey says  via @cnet #aapl","believ wont be avail thi christmas, survey say via",0.0,0.0,0.7342896,"Topic 6, Topic 4",train
rt @muchtech: @apple planning to open 500 istores in india :,plan to open istor in india,0.0,0.0,0.8762914,"Topic 6, Topic 4",train
"iphones are mad sensitive bro, if it's too cold, it dies even with a lot of battery left. if it's too hot, it shuts down as well smfh @apple","iphon are mad sensit bro, if it too cold, it die even with a lot of batteri left. if it too hot, it shut down as well smfh",-1.0,-1.0,0.98793054,"Topic 3, Topic 5",train
my phone was on 19 percent and then it shut off okay @apple fuck you,my phone wa on percent and then it shut off okay fuck you,-1.0,-1.0,0.99011385,"Topic 3, Topic 5",train
rt @ovelhanegratv: apple tv fades away in streaming video player market - @apple #vod #streaming ,tv fade away in stream video player market,-1.0,0.0,0.5032045,"Topic 1, Topic 2",train
@apple i think steve jobs would have been proud. #icantbreathe ,i think steve job would have been proud.,1.0,0.0,0.5972746,"Topic 1, Topic 2",train
thanks @apple. second charger this week. pic.twitter.com/cxbjgfjiay,thank . second charger thi week. pic.twitter.comcxbjgfjiay,0.0,0.0,0.51625115,"Topic 3, Topic 2",train
why is my phone so freaked up none of my pictures will load and my apps won't update and i can't get texts???? what the heck @apple,whi is my phone so freak up none of my pictur will load and my app wont updat and i cant get texts???? what the heck,-1.0,-1.0,0.99183804,"Topic 1, Topic 3",train
excited about @apple introducing #touchid and biometric security. hoping an api will soon be released for devs to take advantage.,excit about introduc and biometr security. hope an api will soon be releas for dev to take advantage.,1.0,1.0,0.64721453,"Topic 3, Topic 6",train
and how about kids?  do parents need to monitor the @apple power cords daily to make sure they are still safe?  #applecordfire,and how about kids? do parent need to monitor the power cord daili to make sure they are still safe?,-1.0,-1.0,0.7824211,"Topic 6, Topic 5",train
lmao oh my god why the fuck did it autocorrect it from 'gonna' to 'finna' ahahahah @apple u ghetto child ass youuu ,lmao oh my god whi the fuck did it autocorrect it from gonna to finna ahahahah u ghetto child ass youuu,-1.0,-1.0,0.9662765,"Topic 1, Topic 5",train
"hey @apple #ios7 #ios why go flat, then use a 3d parallax effect on the homescreen? #needdepth #fixcontrast","hey whi go flat, then use a d parallax effect on the homescreen?",0.0,0.0,0.71289486,"Topic 3, Topic 6",train
@daulfn @appleuk_ @apple it's what most of our devs do,it what most of our dev do,0.0,0.0,0.778201,"Topic 1, Topic 3",train
rt @ovelhanegratv: apple tv fades away in streaming video player market - @apple #vod #streaming ,tv fade away in stream video player market,-1.0,0.0,0.5032045,"Topic 1, Topic 2",train
one more led is simply more light - one more led with a different color that solves an old problem is an #innovation @apple,one more led is simpli more light one more led with a differ color that solv an old problem is an,0.0,0.0,0.8875857,"Topic 1, Topic 4",train
.@apple hi yes um i was just making sure that you can still clear safari history in ios 7 cause that's an important feature to me,. hi ye um i wa just make sure that you can still clear safari histori in io caus that an impoant featur to me,0.0,0.0,0.6351405,"Topic 6, Topic 4",train
interesting apps pop up when you search for 'beta' on the @apple app store,interest app pop up when you search for beta on the app store,0.0,0.0,0.9024044,"Topic 3, Topic 4",train
"#aapl:apple, samsung argue in appeals court...",", samsung argu in appeal cou...",0.0,0.0,0.712552,"Topic 4, Topic 2",train
"@marxculture @appleuk_ @apple ugh, i'm no longer a dev, remember? i now wear a suit. oh wait, i don't like suits :) yeh i'll probly do it...","ugh, im no longer a dev, remember? i now wear a suit. oh wait, i dont like suit yeh ill probli do it...",0.0,0.0,0.820721,"Topic 5, Topic 1",train
'@apple: what macbook @ray_alexander_: apple. i need my macbook byke.' ,what macbook . i need my macbook byke.,0.0,0.0,0.93030566,"Topic 3, Topic 1",train
@apple store #nyc i am honored to be here. #travel ,store i am honor to be here.,1.0,0.0,0.7742982,"Topic 1, Topic 4",train
got new cases. :) @apple @applestore @citycreek #slc #citycreek #apple #applestore #red ...  ,got new cases. ...,1.0,0.0,0.77992535,"Topic 4, Topic 5",train
confirmed: bose speakers returning to #apple stores ... -  #aapl #beatselectronics ,confirm bose speaker return to store ...,0.0,0.0,0.7025456,"Topic 4, Topic 6",train
is #apple inc. losing the $5 billion ed-tech market? | the motley fool #aapl ,is inc. lose the billion edtech market? the motley fool,0.0,0.0,0.8120132,"Topic 2, Topic 3",train
@stevewoz @apple this one got by me patent for apple anti gravity phone includes predictive programing. on drops ,thi one got by me patent foranti graviti phone includ predict programing. on drop,0.0,0.0,0.82519287,"Topic 4, Topic 5",train
@apple - what if i don't want my money going to africa to fight aids?  we have problems here we need to fight.  #apple #africa @cnn #cnn,what if i dont want my money go to africa to fight aids? we have problem here we need to fight.,-1.0,-1.0,0.6549976,"Topic 1, Topic 2",train
yo @apple i didn't need a subject line for my text &amp; imessages folk.,yo i didnt need a subject line for my text imessag folk.,0.0,0.0,0.79038095,"Topic 6, Topic 5",train
"apple's first patent reassignment from primesense buy hints at 3d mapping on apple tv, iphone $aapl #aapl ","s first patent reassign from primesens buy hint at d map ontv, iphon",0.0,0.0,0.9280941,"Topic 5, Topic 4",train
@apple make the settings page less horrific,make the set page less horrif,0.0,0.0,0.83718514,"Topic 6, Topic 5",train
#aapl:don't confuse morgan stanley decreasing apple's weighting by 1% with b...,dont confus morgan stanley decreas weight by with b...,0.0,0.0,0.78204507,"Topic 3, Topic 6",train
"@archimage @apple seen a bunch of people tweeting about. search twitter, then dev forums. i don't remember solution.","seen a bunch of peopl tweet about. search twitter, then dev forums. i dont rememb solution.",0.0,0.0,0.7859858,"Topic 3, Topic 2",train
rt @marksutton65: #sunrise #northamptonshire #northampton wow what a sunrise this morning #iphone6 #apple @apple #sun ,wow what a sunris thi morn,0.0,0.0,0.6393401,"Topic 5, Topic 4",train
"here are @sfbjeditor 5 things to know today, including who is hoarding the @apple #iphone6 ","here are thing to know today, includ who is hoard the",0.0,0.0,0.94187254,"Topic 4, Topic 2",train
"#iphone6 sales success gives @apple [#apple] best ever uk market position. (#thursday, 4 #december) ","sale success give best ever uk market position. ,",1.0,1.0,0.6267417,"Topic 2, Topic 1",train
i had the facebook app but my dumbass deleted it and now i can't redownload cause it says i need ios7 suck my fucking ass @apple,i had the facebook app but my dumbass delet it and now i cant redownload caus it say i need io suck my fuck ass,-1.0,-1.0,0.9940521,"Topic 6, Topic 3",train
@apple you know your iphone is fucked when the lettering on the screen goes back-to-front..,you know your iphon is fuck when the letter on the screen goe backtofront..,-1.0,-1.0,0.8825363,"Topic 4, Topic 3",train
"@technical_chart ust sayin', #aapl is still the king....","ust sayin, is still the king....",1.0,1.0,0.55350316,"Topic 5, Topic 6",train
rt @swiftkey: we're so excited to be named to @apple's 'app store best of 2014' list this year!  #apple,were so excit to be name to s app store best of list thi year!,1.0,1.0,0.9101104,"Topic 4, Topic 3",train
rt @stuff_sg: the rumoured @oppo r8207 looks very similar to a certain @apple #iphone6 ,the rumour r look veri similar to a ceain,0.0,0.0,0.76601946,"Topic 1, Topic 6",train
mark zuckerberg's newest frenemy: tim cook $aapl #aapl ,mark zuckerberg newest frenemi tim cook,0.0,0.0,0.89836824,"Topic 5, Topic 6",train
thestreet:  why even #apple is surprised by the enormous demand for the #iphone6. #aapl ,thestreet whi even is surpris by the enorm demand for the .,0.0,0.0,0.66309935,"Topic 6, Topic 2",train
bloombergtv:  #wozniak: what really happened in #stevejobs' garage  #aapl,bloombergtv what realli happen in garag,0.0,0.0,0.77684534,"Topic 2, Topic 4",train
"@jakeflem @apple i had to get my logic board completely replaced, if it's under warranty they'll do it for free - make sure to back up b4","i had to get my logic board complet replaced, if it under warranti theyll do it for free make sure to back up b",0.0,0.0,0.81234205,"Topic 3, Topic 5",train
ayo @apple i think u should create a 'video message' option so when @carlabarlacakes doesn't answer my facetime i can leave her a video mail,ayo i think u should creat a video messag option so when doesnt answer my facetim i can leav her a video mail,0.0,0.0,0.7406837,"Topic 5, Topic 1",train
hoping @firefox does not cave! @apple should allow other browser engines! #openup could soon come to ios techcrunch  ,hope doe not cave! should allow other browser engines! could soon come to io techcrunch,0.0,0.0,0.759936,"Topic 4, Topic 6",train
tell ur update to stop capitalizing everything @apple,tell ur updat to stop capit everyth,-1.0,-1.0,0.9713786,"Topic 3, Topic 4",train
no @apple tv update for me yet,no tv updat for me yet,-1.0,0.0,0.6794489,"Topic 4, Topic 1",train
"yeah +1 thing i'm inspired by is apple of course. so, apple++. here is tv ad from 2002:  @apple #tvad","yeah thing im inspir by isof course. so,. here is tv ad from",1.0,1.0,0.46103093,"Topic 5, Topic 4",train
apple again orders app developer to remove a useful and popular feature  via @appy_geek @apple dictatorship!,again order app develop to remov a use and popular featur via dictatorship!,0.0,0.0,0.7723515,"Topic 1, Topic 4",train
"but really, why am i looking at the video about the iphone 5s? it's not like i can afford it. *logs off @apple website*","but really, whi am i look at the video about the iphon s? it not like i can afford it. log off websit",0.0,0.0,0.81727064,"Topic 6, Topic 1",train
"#win a #digital makeover #giveaway ! $1000 @apple gc,#ipad #macbook and more !  #pin","a makeov ! gc, and more !",0.0,0.0,0.778201,"Topic 5, Topic 6",train
is apple the most important stock on earth?   #aapl ,isth most impoant stock on eah?,0.0,0.0,0.9205546,"Topic 2, Topic 4",train
my cat only chews @apple cords. such an #applesnob.,my cat onli chew cords. such an .,0.0,0.0,0.7486334,"Topic 1, Topic 5",train
foreign currency exchange may be a headwind for #apple #aapl ,foreign currenc exchang may be a headwind for,0.0,0.0,0.802571,"Topic 1, Topic 6",train
but @apple looks like it teaming up with the us government cause these new features are too personal,but look like it team up with the us govern caus these new featur are too person,-1.0,0.0,0.48202562,"Topic 5, Topic 3",train
"rt @onerepublic: studio at 45,000 ft.  one outlet,  4 computers.  @apple we need the batteries of the future now!!!! ","studio at , ft. one outlet, computers. we need the batteri of the futur now!!!!",0.0,0.0,0.79342747,"Topic 5, Topic 3",train
i hope no one ever cons me into getting another crappy @apple product again,i hope no one ever con me into get anoth crappi product again,-1.0,-1.0,0.5920911,"Topic 5, Topic 6",train
.@apple has the best customer service. in and out with a new phone in under 10min!,. ha the best custom service. in and out with a new phone in under min!,1.0,1.0,0.7669409,"Topic 1, Topic 5",train
"move aside #apple and #google, #alibaba is entering the connected car space - forbes #baba #goog #aapl ","move asid and , is enter the connect car space forb",0.0,0.0,0.77028775,"Topic 6, Topic 2",train
rt @saigeist: the most offensive thing is the lack of a trashcan emoji stop the discrimination @apple,the most offens thing is the lack of a trashcan emoji stop the discrimin,-1.0,-1.0,0.75351703,"Topic 2, Topic 6",train
"rt @jpdesloges: apple to build major new r&amp;d facility in japan, prime minister reveals $aapl #aapl ","to build major new rd facil in japan, prime minist reveal",0.0,0.0,0.77411425,"Topic 2, Topic 4",train
cool stuff found: @apple posts 'ipad air 2 - change' commercial with focus on new ways of doing things ,cool stuff found post ipad air chang commerci with focu on new way of do thing,1.0,1.0,0.7681723,"Topic 5, Topic 2",train
.@google trumps @apple in streaming media sales ,. trump in stream media sale,-1.0,0.0,0.71672887,"Topic 6, Topic 1",train
"shame on you, @apple, @facebook and @amazon, says @jocofino about #climate ","shame on you, , and , say about",-1.0,0.0,0.6884577,"Topic 3, Topic 4",train
"if you would've invested $50,000 in 2005 in #aapl stock you would have $1,315,066 today. #shucks","if you wouldv invest , in in stock you would have ,, today.",1.0,0.0,0.7584757,"Topic 4, Topic 2",train
"dashlane introduces 'password changer', allowing users to change multiple passwords with one click [mac blog]  #aapl","dashlan introduc password changer, allow user to chang multipl password with one click mac blog",0.0,0.0,0.9346744,"Topic 4, Topic 6",train
#apple planning to spend $161 million on its own auditorium at ... -  #aapl #wwdc ,plan to spend million on it own auditorium at ...,0.0,0.0,0.838967,"Topic 3, Topic 4",train
#aapl:here's apple's idea for a 3d iphone display...,heress idea for a d iphon display...,0.0,0.0,0.77812576,"Topic 6, Topic 4",train
.@apple the ipad update to ios 8 is an absolute disaster. nothing works right anymore. safari crashes constantly. #ifail,. the ipad updat to io is an absolut disaster. noth work right anymore. safari crash constantly.,-1.0,-1.0,0.7257846,"Topic 6, Topic 2",train
